특정 감염성 및 기생충성 질환 ,서울,1 - 4세,1,1.2,1.9,0.7
특정 감염성 및 기생충성 질환 ,서울,1 - 4세,2,0.6,0,1.4
특정 감염성 및 기생충성 질환 ,서울,5 - 9세,1,0.5,0,0
특정 감염성 및 기생충성 질환 ,서울,5 - 9세,2,0,0,0
특정 감염성 및 기생충성 질환 ,서울,10 - 14세,1,0.9,0,0
특정 감염성 및 기생충성 질환 ,서울,10 - 14세,2,0.5,0,0
특정 감염성 및 기생충성 질환 ,서울,15 - 19세,1,0,0.4,0
특정 감염성 및 기생충성 질환 ,서울,15 - 19세,2,0.7,0.4,0
특정 감염성 및 기생충성 질환 ,서울,20 - 24세,1,0,0.3,0
특정 감염성 및 기생충성 질환 ,서울,20 - 24세,2,0.3,0,0.6
특정 감염성 및 기생충성 질환 ,서울,25 - 29세,1,0.3,0.5,0.5
특정 감염성 및 기생충성 질환 ,서울,25 - 29세,2,0.5,0,0
특정 감염성 및 기생충성 질환 ,서울,30 - 34세,1,0.2,1.5,1
특정 감염성 및 기생충성 질환 ,서울,30 - 34세,2,0.9,0.5,0
특정 감염성 및 기생충성 질환 ,서울,35 - 39세,1,2,2.5,2.2
특정 감염성 및 기생충성 질환 ,서울,35 - 39세,2,0.5,0.5,0
특정 감염성 및 기생충성 질환 ,서울,40 - 44세,1,5.1,3.2,4.1
특정 감염성 및 기생충성 질환 ,서울,40 - 44세,2,1.4,1,1.3
특정 감염성 및 기생충성 질환 ,서울,45 - 49세,1,4.4,8.5,5.2
특정 감염성 및 기생충성 질환 ,서울,45 - 49세,2,1.9,0.9,0.5
특정 감염성 및 기생충성 질환 ,서울,50 - 54세,1,8.7,9.5,11.1
특정 감염성 및 기생충성 질환 ,서울,50 - 54세,2,1.5,2.1,3.2
특정 감염성 및 기생충성 질환 ,서울,55 - 59세,1,12.6,11.3,14.5
특정 감염성 및 기생충성 질환 ,서울,55 - 59세,2,3.8,3.2,2.5
특정 감염성 및 기생충성 질환 ,서울,60 - 64세,1,16.7,19.2,18
특정 감염성 및 기생충성 질환 ,서울,60 - 64세,2,2.4,4.9,4.6
특정 감염성 및 기생충성 질환 ,서울,65 - 69세,1,30.6,28.4,22.9
특정 감염성 및 기생충성 질환 ,서울,65 - 69세,2,11.4,9.5,9
특정 감염성 및 기생충성 질환 ,서울,70 - 74세,1,42.7,52.6,39.3
특정 감염성 및 기생충성 질환 ,서울,70 - 74세,2,23.4,27.1,17.9
특정 감염성 및 기생충성 질환 ,서울,75 - 79세,1,95.5,111,75.3
특정 감염성 및 기생충성 질환 ,서울,75 - 79세,2,59.7,61.6,53.7
특정 감염성 및 기생충성 질환 ,서울,80세이상,1,282,255.8,218.1
특정 감염성 및 기생충성 질환 ,서울,80세이상,2,228.3,205.9,194
특정 감염성 및 기생충성 질환 ,서울,80 - 84세,1,171.7,184.9,150
특정 감염성 및 기생충성 질환 ,서울,80 - 84세,2,145.8,127.8,129.1
특정 감염성 및 기생충성 질환 ,서울,85 - 89세,1,370.7,284,314.4
특정 감염성 및 기생충성 질환 ,서울,85 - 89세,2,305.1,260.3,202.5
특정 감염성 및 기생충성 질환 ,서울,90세이상,1,837.7,733.9,495.8
