특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,1 - 4세,남자,사망자수,명,2,3,1
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,1 - 4세,남자,사망률,십만명당,1.2,1.9,0.7
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,1 - 4세,여자,사망자수,명,1,0,2
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,1 - 4세,여자,사망률,십만명당,0.6,,1.4
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,5 - 9세,남자,사망자수,명,1,0,0
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,5 - 9세,남자,사망률,십만명당,0.5,,
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,5 - 9세,여자,사망자수,명,0,0,0
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,5 - 9세,여자,사망률,십만명당,,,
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,10 - 14세,남자,사망자수,명,2,0,0
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,10 - 14세,남자,사망률,십만명당,0.9,,
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,10 - 14세,여자,사망자수,명,1,0,0
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,10 - 14세,여자,사망률,십만명당,0.5,,
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,15 - 19세,남자,사망자수,명,0,1,0
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,15 - 19세,남자,사망률,십만명당,,0.4,
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,15 - 19세,여자,사망자수,명,2,1,0
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,15 - 19세,여자,사망률,십만명당,0.7,0.4,
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,20 - 24세,남자,사망자수,명,0,1,0
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,20 - 24세,남자,사망률,십만명당,,0.3,
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,20 - 24세,여자,사망자수,명,1,0,2
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,20 - 24세,여자,사망률,십만명당,0.3,,0.6
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,25 - 29세,남자,사망자수,명,1,2,2
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,25 - 29세,남자,사망률,십만명당,0.3,0.5,0.5
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,25 - 29세,여자,사망자수,명,2,0,0
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,25 - 29세,여자,사망률,십만명당,0.5,,
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,30 - 34세,남자,사망자수,명,1,6,4
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,30 - 34세,남자,사망률,십만명당,0.2,1.5,1
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,30 - 34세,여자,사망자수,명,4,2,0
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,30 - 34세,여자,사망률,십만명당,0.9,0.5,
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,35 - 39세,남자,사망자수,명,8,10,9
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,35 - 39세,남자,사망률,십만명당,2,2.5,2.2
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,35 - 39세,여자,사망자수,명,2,2,0
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,35 - 39세,여자,사망률,십만명당,0.5,0.5,
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,40 - 44세,남자,사망자수,명,22,13,16
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,40 - 44세,남자,사망률,십만명당,5.1,3.2,4.1
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,40 - 44세,여자,사망자수,명,6,4,5
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,40 - 44세,여자,사망률,십만명당,1.4,1,1.3
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,45 - 49세,남자,사망자수,명,18,35,22
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,45 - 49세,남자,사망률,십만명당,4.4,8.5,5.2
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,45 - 49세,여자,사망자수,명,8,4,2
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,45 - 49세,여자,사망률,십만명당,1.9,0.9,0.5
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,50 - 54세,남자,사망자수,명,34,36,41
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,50 - 54세,남자,사망률,십만명당,8.7,9.5,11.1
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,50 - 54세,여자,사망자수,명,6,8,12
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,50 - 54세,여자,사망률,십만명당,1.5,2.1,3.2
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,55 - 59세,남자,사망자수,명,46,42,54
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,55 - 59세,남자,사망률,십만명당,12.6,11.3,14.5
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,55 - 59세,여자,사망자수,명,15,13,10
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,55 - 59세,여자,사망률,십만명당,3.8,3.2,2.5
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,60 - 64세,남자,사망자수,명,44,54,53
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,60 - 64세,남자,사망률,십만명당,16.7,19.2,18
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,60 - 64세,여자,사망자수,명,7,15,15
특정 감염성 및 기생충성 질환 (A00-B99),서울특별시,60 - 64세,여자,사망률,십만명당,2.4,4.9,4.6
