특정 감염성 및 기생충성 질환 ,서울,1 - 4세,남자,1.9,
특정 감염성 및 기생충성 질환 ,서울,1 - 4세,여자,0,
특정 감염성 및 기생충성 질환 ,서울,5 - 9세,남자,0,
특정 감염성 및 기생충성 질환 ,서울,5 - 9세,여자,0,
특정 감염성 및 기생충성 질환 ,서울,10 - 14세,남자,0,
특정 감염성 및 기생충성 질환 ,서울,10 - 14세,여자,0,
특정 감염성 및 기생충성 질환 ,서울,15 - 19세,남자,0.4,
특정 감염성 및 기생충성 질환 ,서울,15 - 19세,여자,0.4,
특정 감염성 및 기생충성 질환 ,서울,20 - 24세,남자,0.3,
특정 감염성 및 기생충성 질환 ,서울,20 - 24세,여자,0,
특정 감염성 및 기생충성 질환 ,서울,25 - 29세,남자,0.5,
특정 감염성 및 기생충성 질환 ,서울,25 - 29세,여자,0,
특정 감염성 및 기생충성 질환 ,서울,30 - 34세,남자,1.5,
특정 감염성 및 기생충성 질환 ,서울,30 - 34세,여자,0.5,
특정 감염성 및 기생충성 질환 ,서울,35 - 39세,남자,2.5,
특정 감염성 및 기생충성 질환 ,서울,35 - 39세,여자,0.5,
특정 감염성 및 기생충성 질환 ,서울,40 - 44세,남자,3.2,
특정 감염성 및 기생충성 질환 ,서울,40 - 44세,여자,1,
특정 감염성 및 기생충성 질환 ,서울,45 - 49세,남자,8.5,
특정 감염성 및 기생충성 질환 ,서울,45 - 49세,여자,0.9,
특정 감염성 및 기생충성 질환 ,서울,50 - 54세,남자,9.5,
특정 감염성 및 기생충성 질환 ,서울,50 - 54세,여자,2.1,
특정 감염성 및 기생충성 질환 ,서울,55 - 59세,남자,11.3,
특정 감염성 및 기생충성 질환 ,서울,55 - 59세,여자,3.2,
특정 감염성 및 기생충성 질환 ,서울,60 - 64세,남자,19.2,
특정 감염성 및 기생충성 질환 ,서울,60 - 64세,여자,4.9,
특정 감염성 및 기생충성 질환 ,서울,65 - 69세,남자,28.4,
특정 감염성 및 기생충성 질환 ,서울,65 - 69세,여자,9.5,
특정 감염성 및 기생충성 질환 ,서울,70 - 74세,남자,52.6,
특정 감염성 및 기생충성 질환 ,서울,70 - 74세,여자,27.1,
특정 감염성 및 기생충성 질환 ,서울,75 - 79세,남자,111,
특정 감염성 및 기생충성 질환 ,서울,75 - 79세,여자,61.6,
특정 감염성 및 기생충성 질환 ,서울,80세이상,남자,255.8,
특정 감염성 및 기생충성 질환 ,서울,80세이상,여자,205.9,
특정 감염성 및 기생충성 질환 ,서울,80 - 84세,남자,184.9,
특정 감염성 및 기생충성 질환 ,서울,80 - 84세,여자,127.8,
특정 감염성 및 기생충성 질환 ,서울,85 - 89세,남자,284,
특정 감염성 및 기생충성 질환 ,서울,85 - 89세,여자,260.3,
특정 감염성 및 기생충성 질환 ,서울,90세이상,남자,733.9,
특정 감염성 및 기생충성 질환 ,서울,90세이상,여자,406.3,
특정 감염성 및 기생충성 질환 ,부산,1 - 4세,남자,0,
특정 감염성 및 기생충성 질환 ,부산,1 - 4세,여자,0,
특정 감염성 및 기생충성 질환 ,부산,5 - 9세,남자,0,
