특정 감염성 및 기생충성 질환 ,11,1 - 4세,2,0.6,0,1.4
특정 감염성 및 기생충성 질환 ,11,5 - 9세,2,0,0,0
특정 감염성 및 기생충성 질환 ,11,10 - 14세,2,0.5,0,0
특정 감염성 및 기생충성 질환 ,11,15 - 19세,2,0.7,0.4,0
특정 감염성 및 기생충성 질환 ,11,20 - 24세,2,0.3,0,0.6
특정 감염성 및 기생충성 질환 ,11,25 - 29세,2,0.5,0,0
특정 감염성 및 기생충성 질환 ,11,30 - 34세,2,0.9,0.5,0
특정 감염성 및 기생충성 질환 ,11,35 - 39세,2,0.5,0.5,0
특정 감염성 및 기생충성 질환 ,11,40 - 44세,2,1.4,1,1.3
특정 감염성 및 기생충성 질환 ,11,45 - 49세,2,1.9,0.9,0.5
특정 감염성 및 기생충성 질환 ,11,50 - 54세,2,1.5,2.1,3.2
특정 감염성 및 기생충성 질환 ,11,55 - 59세,2,3.8,3.2,2.5
특정 감염성 및 기생충성 질환 ,11,60 - 64세,2,2.4,4.9,4.6
특정 감염성 및 기생충성 질환 ,11,65 - 69세,2,11.4,9.5,9
특정 감염성 및 기생충성 질환 ,11,70 - 74세,2,23.4,27.1,17.9
특정 감염성 및 기생충성 질환 ,11,75 - 79세,2,59.7,61.6,53.7
특정 감염성 및 기생충성 질환 ,11,80세이상,2,228.3,205.9,194
특정 감염성 및 기생충성 질환 ,11,80 - 84세,2,145.8,127.8,129.1
특정 감염성 및 기생충성 질환 ,11,85 - 89세,2,305.1,260.3,202.5
특정 감염성 및 기생충성 질환 ,11,90세이상,2,393.3,406.3,437.2
특정 감염성 및 기생충성 질환 ,26,1 - 4세,2,0,0,0
특정 감염성 및 기생충성 질환 ,26,5 - 9세,2,0,0,0
특정 감염성 및 기생충성 질환 ,26,10 - 14세,2,0,0,0
특정 감염성 및 기생충성 질환 ,26,15 - 19세,2,0,0,0
특정 감염성 및 기생충성 질환 ,26,20 - 24세,2,0,0.9,1.8
특정 감염성 및 기생충성 질환 ,26,25 - 29세,2,2,0,0
특정 감염성 및 기생충성 질환 ,26,30 - 34세,2,0,0.9,0
특정 감염성 및 기생충성 질환 ,26,35 - 39세,2,0.8,0.8,1.6
특정 감염성 및 기생충성 질환 ,26,40 - 44세,2,1.4,3,0.8
특정 감염성 및 기생충성 질환 ,26,45 - 49세,2,0.7,3.4,2.7
특정 감염성 및 기생충성 질환 ,26,50 - 54세,2,3.8,3.4,2.1
특정 감염성 및 기생충성 질환 ,26,55 - 59세,2,3.7,4.3,3.6
특정 감염성 및 기생충성 질환 ,26,60 - 64세,2,13.2,5.4,11
특정 감염성 및 기생충성 질환 ,26,65 - 69세,2,16.2,19.5,15.7
특정 감염성 및 기생충성 질환 ,26,70 - 74세,2,37,38.8,34.6
특정 감염성 및 기생충성 질환 ,26,75 - 79세,2,85.3,94.4,86.4
특정 감염성 및 기생충성 질환 ,26,80세이상,2,273.5,257.8,288.5
특정 감염성 및 기생충성 질환 ,26,80 - 84세,2,184.4,158,186.9
특정 감염성 및 기생충성 질환 ,26,85 - 89세,2,334.4,400.4,381
특정 감염성 및 기생충성 질환 ,26,90세이상,2,573.3,399.1,552.7
특정 감염성 및 기생충성 질환 ,27,1 - 4세,2,0,0,0
특정 감염성 및 기생충성 질환 ,27,5 - 9세,2,0,0,0
특정 감염성 및 기생충성 질환 ,27,10 - 14세,2,0,0,0
특정 감염성 및 기생충성 질환 ,27,15 - 19세,2,0,0,0
특정 감염성 및 기생충성 질환 ,27,20 - 24세,2,0,1.2,0
특정 감염성 및 기생충성 질환 ,27,25 - 29세,2,0,0,0
특정 감염성 및 기생충성 질환 ,27,30 - 34세,2,1.2,0,0
특정 감염성 및 기생충성 질환 ,27,35 - 39세,2,2.2,1.1,0
특정 감염성 및 기생충성 질환 ,27,40 - 44세,2,0,1.9,0
특정 감염성 및 기생충성 질환 ,27,45 - 49세,2,3.5,0.9,3.5
특정 감염성 및 기생충성 질환 ,27,50 - 54세,2,4.5,2.8,2.8
특정 감염성 및 기생충성 질환 ,27,55 - 59세,2,5.1,6.8,7.5
특정 감염성 및 기생충성 질환 ,27,60 - 64세,2,4.1,8.9,6.1
특정 감염성 및 기생충성 질환 ,27,65 - 69세,2,23.7,13.7,16.2
특정 감염성 및 기생충성 질환 ,27,70 - 74세,2,49.8,30,41.3
특정 감염성 및 기생충성 질환 ,27,75 - 79세,2,77.1,66.3,91
특정 감염성 및 기생충성 질환 ,27,80세이상,2,288.5,210.1,300
특정 감염성 및 기생충성 질환 ,27,80 - 84세,2,199.7,153.9,200.5
특정 감염성 및 기생충성 질환 ,27,85 - 89세,2,358.7,254.1,364.2
특정 감염성 및 기생충성 질환 ,27,90세이상,2,588.9,401.5,659.7
특정 감염성 및 기생충성 질환 ,28,1 - 4세,2,0,0,0
특정 감염성 및 기생충성 질환 ,28,5 - 9세,2,0,0,0
특정 감염성 및 기생충성 질환 ,28,10 - 14세,2,0,0,0
특정 감염성 및 기생충성 질환 ,28,15 - 19세,2,0,0,0
특정 감염성 및 기생충성 질환 ,28,20 - 24세,2,0,0,0
특정 감염성 및 기생충성 질환 ,28,25 - 29세,2,3.3,1.1,1
특정 감염성 및 기생충성 질환 ,28,30 - 34세,2,1.8,1,2
특정 감염성 및 기생충성 질환 ,28,35 - 39세,2,0,1.7,0
특정 감염성 및 기생충성 질환 ,28,40 - 44세,2,0,0,0
특정 감염성 및 기생충성 질환 ,28,45 - 49세,2,2.3,3.1,3
특정 감염성 및 기생충성 질환 ,28,50 - 54세,2,4.7,1.6,2.4
특정 감염성 및 기생충성 질환 ,28,55 - 59세,2,3.7,1.7,4.9
특정 감염성 및 기생충성 질환 ,28,60 - 64세,2,4.3,6.4,9.4
